municipality,iata_code,coordinates
Kagau Island,KGE,"157.585, -7.3305"
Kaliningrad,KGD,"20.592599868774414, 54.88999938964844"
,KGC,"137.52099609375, -35.71390151977539"
Konge,KGB,"147.2152, -6.2239"
Kananga,KGA,"22.4692001343, -5.90005016327"
Kastamonu,KFS,"33.795799255371094, 41.31420135498047"
False Pass,KFP,"-163.41000366210938, 54.8474006652832"
,KFG,"130.80799865722656, -17.431900024414062"
Cloudbreak Village,KFE,"119.437143, -22.290754"
Kiffa,KFA,"-11.4062, 16.59"
Colombo,KEZ,"79.93, 6.95"
Kericho,KEY,"35.242093, -0.3899"
Kanabea,KEX,"145.905, -7.538888888890001"
Keewaywin,KEW,"-92.8364028931, 52.991100311299995"
Halli / Kuorevesi,KEV,"24.786686, 61.856039"
Keekorok,KEU,"35.25, -1.583"
Kengtung,KET,"99.63600158691406, 21.301599502563477"
Kelsey,KES,"-96.50969696039999, 56.0374984741"
Kerman,KER,"56.9510993958, 30.274400711099997"
Kebar-Papua Island,KEQ,"133.1280059814453, -0.6371009945869446"
Nepalgunj,KEP,"81.66699981689453, 28.103599548339844"
Odienne,KEO,"-7.566999912261963, 9.5"
Kenema,KEN,"-11.176600456237793, 7.891290187835693"
Kemi / Tornio,KEM,"24.582099914551, 65.778701782227"
Kiel,KEL,"10.145277976989746, 54.37944412231445"
Ekwok,KEK,"-157.4709930419922, 59.3568000793457"
Kemerovo,KEJ,"86.1072006225586, 55.27009963989258"
Kepi-Papua Island,KEI,"139.3318, -6.5418"
Kenmore,KEH,"-122.259002686, 47.7547988892"
Denglagu Mission,KEG,"145.097222222, -5.83277777778"
ReykjavÃ­k,KEF,"-22.6056, 63.985001"
Kelle,KEE,"14.532999992370605, -0.08299999684095383"
KaÃ©di,KED,"-13.5076, 16.1595"
Kasenga,KEC,"28.632999420166016, -10.350000381469727"
Nanwalek,KEB,"-151.925003052, 59.3521003723"
Keisah-Papua Island,KEA,"140.5, -7.666669845581055"
Kandy,KDZ,"80.6422, 7.3251"
Khandyga,KDY,"136.854995728, 62.7890014648"
Kadugli,KDX,"29.7010993958, 11.137999534600002"
Kandy,KDW,"80.7834, 7.2415"
Vunisea,KDV,"178.156997681, -19.058099746699998"
Skardu,KDU,"75.53600311279297, 35.33549880981445"
Nakhon Pathom,KDT,"99.9171981812, 14.1020002365"
Kamaran Downs,KDS,"139.2785, -24.3388"
Kandrian,KDR,"149.54783, -6.19217"
Kamberatoro Mission,KDQ,"141.051667, -3.600556"
Kandep,KDP,"143.507222222, -5.84061111111"
Kadhdhoo,KDO,"73.52189636230469, 1.8591699600219727"
Ndende,KDN,"11.366999626159668, -2.4000000953674316"
Huvadhu Atoll,KDM,"72.99690246582031, 0.48813098669052124"
KÃ¤rdla,KDL,"22.830699920654297, 58.99079895019531"
Kodiak,KDK,"-152.37399292, 57.8059005737"
N'DjolÃ©,KDJ,"10.75, -0.18299999833106995"
Kendari-Celebes Island,KDI,"122.41799926757812, -4.081610202789307"
,KDH,"65.8478012084961, 31.505800247192383"
Koroba,KDE,"142.7441, -5.6952"
Khuzdar,KDD,"66.6473007202, 27.790599823"
Kandi,KDC,"2.940381, 11.14479"
Kambalda,KDB,"121.5978, -31.1907"
Kolda,KDA,"-14.968099594116211, 12.898500442504883"
Nankoku,KCZ,"133.668938, 33.546259"
Nankoku,KCZ,"133.669006, 33.546101"
Masindi,KCU,"31.7367000579834, 1.7580599784851074"
Galle,KCT,"80.32029724121094, 5.993680000305176"
,KCS,"131.8350067138672, -24.42329978942871"
Colorado Creek,KCR,"-155.988998413, 63.5676994324"
Chignik Lake,KCQ,"-158.774993896, 56.2550010681"
,KCO,"30.08329963684082, 40.73500061035156"
Chernofski Harbor,KCN,"-167.52027154, 53.4028993416"
KahramanmaraÅ,KCM,"36.9535217285, 37.5388259888"
Chignik Flats,KCL,"-158.5359955, 56.31119919"
Kirensk,KCK,"108.064, 57.773"
Komaio,KCJ,"143.5952, -7.2714"
Kon,KCI,"127.050793, -8.349193"
Kuching,KCH,"110.34700012207031, 1.4846999645233154"
Chignik,KCG,"-158.589706, 56.317643"
Kadanwari,KCF,"69.31670379639999, 27.1667003632"
,KCE,"147.86000061035156, -20.59670066833496"
Kamur-Papua Island,KCD,"138.6372, -6.1851"
Coffman Cove,KCC,"-132.841995239, 56.003200531"
Kasikasima,KCB,"-55.716999054, 3.15000009537"
Kuqa,KCA,"82.872917, 41.677856"
,KBZ,"173.60499572753906, -42.42499923706055"
,KBY,"134.29299926757812, -32.83580017089844"
Kambuaya-Papua Island,KBX,"132.2857, -1.3169"
Chignik,KBW,"-158.401000977, 56.295600891099994"
Krabi,KBV,"98.9861984253, 8.09912014008"
Stagen - Laut Island,KBU,"116.165001, -3.29472"
Kaben,KBT,"170.843994140625, 8.90056037902832"
Bo,KBS,"-11.76099967956543, 7.944399833679199"
Kota Baharu,KBR,"102.29299926757812, 6.1668500900268555"
Kasungu,KBQ,"33.46860122680664, -13.014599800109863"
Kiev,KBP,"30.894699096679688, 50.345001220703125"
Kabalo,KBO,"26.91699981689453, -6.083000183105469"
Kabinda,KBN,"24.4829998016, -6.132999897"
,KBM,"147.191472222, -6.15547222222"
Kabul,KBL,"69.212303, 34.565899"
Kings Canyon Resort,KBJ,"131.490005493, -24.2600002289"
Kribi,KBI,"9.9777803421, 2.8738899231"
Kalat,KBH,"66.51667022705078, 29.133333206176758"
Karubaga-Papua Island,KBF,"138.479, -3.684"
Bell Island,KBE,"-131.572006226, 55.9291000366"
Kimberley Downs,KBD,"124.3550033569336, -17.39780044555664"
Birch Creek,KBC,"-145.824005127, 66.2740020752"
Kirkimbie,KBB,"129.210006714, -17.7791996002"
Kabala,KBA,"-11.5155601501, 9.638322913429999"
Kao-Celebes Island,KAZ,"127.89600372314453, 1.1852799654006958"
Wakaya Island,KAY,"179.01699829101562, -17.617000579833984"
Kalbarri,KAX,"114.259169, -27.692813"
Kawthoung,KAW,"98.53800201416016, 10.049300193786621"
,KAV,"-61.78300094604492, 5.632999897003174"
Kauhava,KAU,"23.051399, 63.127102"
Kaitaia,KAT,"173.28500366210938, -35.06999969482422"
Karasburg,KAS,"18.7385, -28.0297"
Kamarang,KAR,"-60.614200592041016, 5.865340232849121"
Kamulai Mission,KAQ,"146.834, -8.150694444440001"
Kapanga,KAP,"22.58300018310547, -8.350000381469727"
Kuusamo,KAO,"29.239400863647, 65.987602233887"
Kano,KAN,"8.52462, 12.0476"
Kamaran,KAM,"42.6049995422, 15.3633003235"
Kaltag,KAL,"-158.7409973, 64.31909943"
Kajaani,KAJ,"27.692399978638, 64.285499572754"
Kaieteur Falls,KAI,"-59.491481781, 5.17275476456"
Gangneung,KAG,"128.943915, 37.753601"
Karato,KAF,"155.3052, -6.2655"
Kake,KAE,"-133.945999, 56.973"
Kaduna,KAD,"7.320109844207764, 10.696000099182129"
Qamishly,KAC,"41.191399, 37.020599"
Kariba,KAB,"28.885000228881836, -16.519800186157227"
Kasama,KAA,"31.13330078125, -10.216699600219727"
Jiuzhaigou,JZH,"103.682222222, 32.8533333333"
JyvÃ¤skylÃ¤n Maalaiskunta,JYV,"25.678300857544, 62.399501800537"
Jiroft,JYR,"57.67029953, 28.726900100699996"
Jackson,JXN,"-84.45939636230001, 42.259799957300004"
Jixi,JXA,"131.193, 45.293"
Zanjan,JWN,"48.3594017029, 36.7737007141"
,JWA,"24.69099998474121, -24.6023006439209"
Janesville,JVL,"-89.0416030884, 42.620300293"
Manville,JVI,"-74.59839630130001, 40.5243988037"
Ankavandra,JVA,"45.273467, -18.80501"
Quzhou,JUZ,"118.899002, 28.965799"
Upernavik,JUV,"-56.1305999756, 72.7901992798"
Jutigalpa,JUT,"-86.22029876708984, 14.652600288391113"
,JUR,"115.055914, -30.301629"
Jurado,JUO,"-76.6, 6.516667"
,JUN,"143.05799865722656, -24.841699600219727"
Jumla,JUM,"82.193298, 29.2742"
Juliaca,JUL,"-70.158203125, -15.467100143432617"
Ukkusissat,JUK,"-51.890016, 71.049438"
San Salvador de Jujuy,JUJ,"-65.097801, -24.392799"
Juist,JUI,"7.055832862854004, 53.68111038208008"
Chizhou,JUH,"117.6856, 30.7403"
Juba,JUB,"31.6011009216, 4.87201023102"
Juara,JUA,"-57.5495, -11.2966"
Astypalaia Island,JTY,"26.3757991791, 36.5798988342"
Santorini Island,JTR,"25.479299545288086, 36.399200439453125"
JataÃ­,JTI,"-51.7729988098, -17.8299007416"
Bauru,JTC,"-49.0502866745, -22.166859140899998"
Syros Island,JSY,"24.950899124099998, 37.4227981567"
Maniitsoq,JSU,"-52.9393997192, 65.4124984741"
Johnstown,JST,"-78.83390045166016, 40.31610107421875"
Jashahor,JSR,"89.16079711914062, 23.183799743652344"
Chubut,JSM,"-70.4589004517, -44.048599243199995"
Jask,JSK,"57.799301, 25.653601"
Jiansanjiang,JSJ,"132.660278, 47.11"
Skiathos,JSI,"23.503700256347656, 39.177101135253906"
Crete Island,JSH,"26.101299285888672, 35.21609878540039"
,JSA,"70.86499786376953, 26.888700485229492"
Jerusalem,JRS,"35.2192, 31.8647"
Arusha,JRO,"37.0745010376, -3.42940998077"
Juruena,JRN,"-58.489444732666016, -10.305832862854004"
Jorhat,JRH,"94.1754989624, 26.7315006256"
,JRG,"84.0504, 21.9135"
Kapolei,JRF,"-158.070009, 21.3074"
New York,JRB,"-74.00900269, 40.70119858"
New York,JRA,"-74.007103, 40.754501"
JaquÃ©,JQE,"-78.1572036743164, 7.51777982711792"
Uummannaq,JQA,"-52.6962013245, 70.7341995239"
Ji-ParanÃ¡,JPR,"-61.8465003967, -10.870800018299999"
Washington,JPN,"-77.0575027466, 38.8740997314"
New York,JPB,"-73.9765, 40.7533"
JoÃ£o Pessoa,JPA,"-34.9486122131, -7.145833015440001"
Joliet,JOT,"-88.17549896, 41.51779938"
Jos,JOS,"8.869050025939941, 9.639829635620117"
Josephstaal,JOP,"145.007083333, -4.74708333333"
Johnston Atoll,JON,"-169.533996582, 16.7285995483"
Njombe,JOM,"34.79999923706055, -9.350000381469727"
,JOL,"121.01100158691406, 6.0536699295043945"
Yoshkar-Ola,JOK,"47.904701232910156, 56.700599670410156"
Hope Bay,JOJ,"-106.585281372, 68.1252746582"
Joinville,JOI,"-48.797401428222656, -26.22450065612793"
Port St Johns,JOH,"29.519800186157227, -31.605899810791016"
Yogyakarta-Java Island,JOG,"110.431999, -7.78818"
Joensuu / Liperi,JOE,"29.607500076294, 62.662899017334"
Jinzhou,JNZ,"121.06199645996094, 41.10139846801758"
Naxos Island,JNX,"25.3680992126, 37.0811004639"
Juneau,JNU,"-134.5760040283203, 58.35499954223633"
Narsaq,JNS,"-46.059923172, 60.9172827256"
Nanortalik,JNN,"-45.232976675, 60.141883975899994"
Duqm,JNJ,"57.3083, 19.4749"
Junin,JNI,"-60.9306, -34.5459"
Jining,JNG,"116.346667, 35.292778"
Johannesburg,JNB,"28.246, -26.1392"
JanuÃ¡ria,JNA,"-44.385501861572266, -15.473799705505371"
Jiamusi,JMU,"130.464996338, 46.84339904789999"
Jamestown,JMS,"-98.67819977, 46.92969894"
Jomsom,JMO,"83.723, 28.780426"
Mykonos Island,JMK,"25.348100662231445, 37.43510055541992"
Lancang Lahu Autonomous County,JMJ,"99.786389, 22.415833"
Jamba,JMB,"16.070148468017578, -14.698192596435547"
Jales,JLS,"-50.5463981628418, -20.292999267578125"
,JLR,"80.052001953125, 23.177799224853516"
Joplin,JLN,"-94.49829864501953, 37.151798248291016"
Cooper Landing,JLA,"-149.718994141, 60.48270034789999"
Jacksonville,JKV,"-95.2173995972, 31.8693008423"
Janakpur,JKR,"85.9224014282, 26.708799362199997"
Kalymnos Island,JKL,"26.9405994415, 36.9632987976"
Chios Island,JKH,"26.140600204467773, 38.34320068359375"
JÃ¶nkÃ¶ping,JKG,"14.068699836730957, 57.757598876953125"
Qaqortoq,JJU,"-46.0299186409, 60.715684155299996"
Quanzhou,JJN,"118.589996, 24.7964"
Meru-Kinna,JJM,"38.1951408386, 0.165083006024"
JuanjuÃ­,JJI,"-76.72859954833984, -7.169099807739258"
Jaguaruna,JJG,"-49.0596, -28.6753"
Jijoca de Jericoacoara,JJD,"-40.357338, -2.906425"
Jiwani,JIW,"61.8054008484, 25.067800521900004"
Jiujiang,JIU,"115.801111, 29.476944"
Jiri,JIR,"86.230581, 27.626313"
Qianjiang,JIQ,"108.831111111, 29.5133333333"
Jipijapa,JIP,"-80.66666412353516, -1"
Tiakur,JIO,"127.9075, -8.13911"
Jinja,JIN,"33.200000762900004, 0.449999988079"
Jimma,JIM,"36.81660079956055, 7.66609001159668"
Jilin,JIL,"126.396004, 44.002201"
Ikaria Island,JIK,"26.3470993042, 37.6827011108"
Jijiga,JIJ,"42.9121, 9.3325"
Jinchang,JIC,"102.348333333, 38.542222222199996"
Djibouti City,JIB,"43.15950012207031, 11.547300338745117"
JuÃ­na,JIA,"-58.701668, -11.419444"
Jamestown,JHW,"-79.25800323, 42.15340042"
Sisimiut,JHS,"-53.729301, 66.951302"
,JHQ,"148.755556, -20.277221"
Lahaina,JHM,"-156.67300415039062, 20.962900161743164"
Albian Village,JHL,"-111.418998718, 57.223899841299996"
Jinghong,JHG,"100.76000213623047, 21.973899841308594"
Johor Bahru,JHB,"103.669998, 1.64131"
Ji'an,JGS,"114.736999512, 26.856899261499997"
Groennedal,JGR,"-48.099998, 61.233299"
Qeqertarsuaq Airport,JGO,"-53.5148763657, 69.251181993"
Jiayuguan,JGN,"98.3414, 39.856899"
Jiagedaqi,JGD,"124.1175, 50.371389"
Jagdalpur,JGB,"82.03679656982422, 19.07430076599121"
Jamnagar,JGA,"70.01260375976562, 22.465499877929688"
Paamiut,JFR,"-49.6709365845, 62.0147361755"
Ashtabula,JFN,"-80.6955032349, 41.7779998779"
New York,JFK,"-73.7789, 40.639801"
Saint Helier,JER,"-2.195509910583496, 49.20790100097656"
JequiÃ©,JEQ,"-40.07160186767578, -13.877699851989746"
Lower Zambezi Natational Park,JEK,"29.6036, -15.6334"
Ailinglapalap Atoll,JEJ,"168.962005615, 7.565350055690001"
Aasiaat,JEG,"-52.7846984863, 68.7218017578"
Jefferson City,JEF,"-92.15609741210001, 38.5912017822"
Jeremie,JEE,"-74.17030334472656, 18.66309928894043"
Jeddah,JED,"39.156502, 21.6796"
Jingdezhen,JDZ,"117.176002502, 29.3386001587"
SÃ£o JoÃ£o Del Rei,JDR,"-44.2247238159, -21.0849990845"
Issy-les-Moulineaux,JDP,"2.272779941558838, 48.83330154418945"
Juazeiro Do Norte,JDO,"-39.270099639899996, -7.21895980835"
Jordan,JDN,"-106.95300293, 47.3288002014"
Jodhpur,JDH,"73.04889678955078, 26.251100540161133"
Jeju Island,JDG,"126.711997986, 33.3996009827"
Juiz De Fora,JDF,"-43.38679885864258, -21.791500091552734"
John Day,JDA,"-118.9629974, 44.40420151"
Johnson City,JCY,"-98.62249755859999, 30.251800537100003"
Ceuta,JCU,"-5.306389808654785, 35.892799377441406"
Junction,JCT,"-99.7634963989, 30.5112991333"
Jacareacanga,JCR,"-57.77690124511719, -6.233160018920898"
Jacobina,JCM,"-40.5531005859375, -11.163200378417969"
,JCK,"141.72300720214844, -20.66830062866211"
"Chuja, Hachâuja-do (Chujado Islands)",JCJ,"126.324899, 33.941188"
Olathe,JCI,"-94.890296936, 38.8308982849"
Qasigiannguit,JCH,"-51.1734473705, 68.822815547"
JoaÃ§aba,JCB,"-51.5532989502, -27.1714000702"
Cannes,JCA,"7.037360191345215, 43.5359992980957"
Bethel,JBT,"-161.742996216, 60.782001495399996"
SÃ£o Borja,JBS,"-56.034599, -28.6549"
Jonesboro,JBR,"-90.64640045166016, 35.83169937133789"
La Isabela,JBQ,"-69.98560333251953, 18.572500228881836"
Oakland,JBK,"-122.3065, 37.8666"
Jember,JBB,"113.694439, -8.238056"
Jacksonville,JAX,"-81.68789672851562, 30.49410057067871"
Ilulissat,JAV,"-51.0570983887, 69.2432022095"
Jauja,JAU,"-75.47339630130001, -11.7831001282"
Ailinglapalap Atoll,JAT,"168.977837563, 7.749774755610001"
Jasper,JAS,"-94.03489685, 30.88570023"
Jahrom,JAR,"53.5791015625, 28.586700439499996"
Jacquinot Bay,JAQ,"151.507003784, -5.65250015259"
Puntarenas,JAP,"-84.7726974487, 9.98141002655"
Jackson,JAN,"-90.0758972168, 32.3111991882"
Yambol,JAM,"26.3521995544, 42.4548988342"
Xalapa,JAL,"-96.7975006104, 19.4750995636"
Jacmel,JAK,"-72.51850128173828, 18.241100311279297"
Jaipur,JAI,"75.812202, 26.8242"
Jacobabad,JAG,"68.44969940185547, 28.28420066833496"
Jaffna,JAF,"80.07009887695312, 9.792329788208008"
JaÃ©n,JAE,"-78.774002, -5.59248"
Perth,JAD,"115.88099670410156, -32.09749984741211"
Jackson,JAC,"-110.73799896240234, 43.6072998046875"
,JAB,"132.89300537109375, -12.658300399780273"
,JAA,"70.49859619140625, 34.39979934692383"
Ixtepec,IZT,"-95.093697, 16.449301"
Izumo,IZO,"132.889999, 35.413601"
Juiz de Fora,IZA,"-43.173069, -21.513086"
Juiz De Fora,IZA,"-43.1730575562, -21.5130558014"
Inyokern,IYK,"-117.8300018, 35.65879822"
Port Blair,IXZ,"92.72969818115234, 11.641200065612793"
Kandla,IXY,"70.100304, 23.1127"
,IXX,"77.487099, 17.9081"
Jamshedpur,IXW,"86.1688, 22.8132"
,IXV,"94.802001953125, 28.17530059814453"
Aurangabad,IXU,"75.39810180664062, 19.862699508666992"
Pasighat,IXT,"95.33560180664062, 28.066099166870117"
Silchar,IXS,"92.97869873050001, 24.9129009247"
Ranchi,IXR,"85.3217010498, 23.314300537100003"
,IXQ,"91.81420135498047, 24.13170051574707"
Pathankot,IXP,"75.634444, 32.233611"
Khowai,IXN,"91.603897, 24.061899"
Madurai,IXM,"78.09339904790001, 9.83450984955"
Leh,IXL,"77.5465011597, 34.1358985901"
,IXK,"70.27040100097656, 21.317100524902344"
Jammu,IXJ,"74.837402, 32.689098"
Lilabari,IXI,"94.09760284423828, 27.295499801635742"
,IXH,"92.0072021484375, 24.30820083618164"
Belgaum,IXG,"74.6183013916, 15.859299659700001"
Mangalore,IXE,"74.8900985718, 12.9612998962"
Allahabad,IXD,"81.733902, 25.4401"
Chandigarh,IXC,"76.78849792480469, 30.673500061035156"
Siliguri,IXB,"88.32859802246094, 26.68120002746582"
Agartala,IXA,"91.24040222170001, 23.8869991302"
Houston,IWS,"-95.67259979250001, 29.818199157699997"
,IWO,"141.322998046875, 24.784000396728516"
Iwakuni,IWK,"132.247238, 34.146333"
Masuda,IWJ,"131.789993286, 34.676399231"
Ironwood,IWD,"-90.131401062, 46.527500152600005"
Ivanovo,IWA,"40.940799713134766, 56.93939971923828"
Inverway,IVW,"129.643005371, -17.8411006927"
Inverell,IVR,"151.143997192, -29.888299942"
Ivalo,IVL,"27.405300140381, 68.607299804688"
Isla Viveros,IVI,"-79.0016, 8.4693"
Ivishak River,IVH,"-148.2881, 69.4066"
Berane,IVG,"19.86199951171875, 42.8390007019043"
Invercargill,IVC,"168.31300354003906, -46.41239929199219"
,IVA,"48.632702, -13.484816"
Inus,IUS,"155.1498, -5.7568"
Ilu-Papua Island,IUL,"138.2002, -3.7051"
Innarsuit,IUI,"-56.010817, 73.199895"
Alofi,IUE,"-169.92559814453125, -19.079030990600586"
Ontario County IDA,IUA,"-77.325226, 42.908902"
Kurilsk,ITU,"147.95549, 45.256389"
Itumbiara,ITR,"-49.2134017944, -18.4447002411"
Itaqui,ITQ,"-56.53670120239258, -29.173099517822266"
Itaperuna,ITP,"-41.8759002686, -21.219299316399997"
Hilo,ITO,"-155.04800415039062, 19.721399307250977"
Itabuna,ITN,"-39.290401, -14.8105"
Osaka,ITM,"135.43800354003906, 34.785499572753906"
Itokama,ITK,"148.264261, -9.201527"
Cumaru Do Norte,ITI,"-51.17416763305664, -8.699999809265137"
Ithaca,ITH,"-76.4583969116211, 42.49100112915039"
ItuberÃ¡,ITE,"-39.1416664124, -13.7322216034"
Itaituba,ITB,"-56.000701904297, -4.2423400878906"
Itacoatiara,ITA,"-58.481201171875, -3.1272599697113037"
Wisconsin Rapids,ISW,"-89.83899688720001, 44.3602981567"
Sulaymaniyah,ISU,"45.316738128699996, 35.5617485046"
Istanbul,IST,"28.751944, 41.275278"
Wiscasset,ISS,"-69.712600708, 43.9613990784"
Manistique,ISQ,"-86.17179871, 45.97460175"
Islip,ISP,"-73.10019684, 40.79520035"
Kinston,ISO,"-77.60880279540001, 35.331401825"
Williston,ISN,"-103.641998291, 48.177898407"
Orlando,ISM,"-81.4371032715, 28.2898006439"
Istanbul,ISL,"28.8146, 40.976898"
Nasik,ISK,"73.912903, 20.119101"
,ISJ,"-86.73999786376953, 21.2450008392334"
,ISI,"144.4250030517578, -24.25830078125"
Ishigaki,ISG,"124.245, 24.396389"
Isparta,ISE,"30.368400573699997, 37.8554000854"
IscuandÃ©,ISD,"-77.981753, 2.445825"
St. Mary's,ISC,"-6.291669845581055, 49.913299560546875"
Islamabad,ISB,"72.82566, 33.549"
Mount Isa,ISA,"139.488998413, -20.663900375399997"
Santa Isabel Do Rio Negro,IRZ,"-64.9923, -0.3786"
Iranamadu,IRU,"80.448627, 9.299746"
Sturgis,IRS,"-85.43900299, 41.81330109"
,IRP,"27.588300704956055, 2.8276100158691406"
Birao,IRO,"22.716899871826172, 10.23639965057373"
Iriona,IRN,"-85.13722229, 15.939167022700001"
,IRM,"64.4393005371, 63.1987991333"
Kirksville,IRK,"-92.5448989868164, 40.09349822998047"
La Rioja,IRJ,"-66.7957992554, -29.3815994263"
Nduli,IRI,"35.75210189819336, -7.668630123138428"
Lockhart River,IRG,"143.304993, -12.7869"
IrecÃª,IRE,"-41.84700012207031, -11.339900016784668"
Ishurdi,IRD,"89.04940032958984, 24.15250015258789"
Circle,IRC,"-144.076008, 65.830498"
Iraan,IRB,"-101.891998291, 30.9057006836"
Kirakira,IRA,"161.897994995, -10.449700355500001"
Iquitos,IQT,"-73.30879974365234, -3.7847399711608887"
Iquique,IQQ,"-70.1812973022461, -20.535200119018555"
Qingyang,IQN,"107.602997, 35.799702"
Qiemo,IQM,"85.465556, 38.233611"
HÄ«t,IQA,"42.4412002563, 33.7855987549"
PÃ©rez ZeledÃ³n,IPZ,"-83.713097, 9.35262"
IpiaÃº,IPU,"-39.733890533447266, -14.133889198303223"
Williamsport,IPT,"-76.92109680175781, 41.241798400878906"
Ipatinga,IPN,"-42.487598419189, -19.470699310303"
Imperial,IPL,"-115.57900238, 32.834201812699995"
Ipiales,IPI,"-77.6718, 0.861925"
Ipoh,IPH,"101.09200286865234, 4.567969799041748"
Santo AntÃ´nio Do IÃ§Ã¡,IPG,"-69.69400024414062, -2.939069986343384"
Ipil,IPE,"122.60199737548828, 7.785560131072998"
Isla De Pascua,IPC,"-109.42199707, -27.1648006439"
Ipota,IPA,"169.283333, -18.856389"
Iowa City,IOW,"-91.5465011597, 41.639198303200004"
Ãle Ouen,IOU,"166.7830047607422, -22.459999084472656"
IlhÃ©us,IOS,"-39.033199310303, -14.815999984741"
Inis MÃ³r,IOR,"-9.653610229492188, 53.1067008972168"
Isortoq,IOQ,"-38.976552, 65.547792"
Ioma,IOP,"147.84, -8.3614"
Impfondo,ION,"18.066999435424805, 1.6169999837875366"
Castletown,IOM,"-4.623889923095703, 54.08330154418945"
Iokea,IOK,"146.277, -8.401"
Ioannina,IOA,"20.822500228881836, 39.6963996887207"
In Salah,INZ,"2.51202011108, 27.250999450699997"
Inyati,INY,"31.385499954223633, -24.777700424194336"
Inanwatan Airport-Papua Island,INX,"132.16099548339844, -2.1280999183654785"
Winslow,INW,"-110.722999573, 35.021900177"
Inverness,INV,"-4.047500133514404, 57.54249954223633"
Yaren District,INU,"166.919006, -0.547458"
Winston Salem,INT,"-80.22200012207031, 36.13370132446289"
Indian Springs,INS,"-115.672996521, 36.587200164799995"
Inis OÃ­rr,INQ,"-9.510899543762207, 53.064701080322266"
Inongo,INO,"18.28580093383789, -1.947219967842102"
Innsbruck,INN,"11.344, 47.260201"
,INM,"140.73300170898438, -27.700000762939453"
International Falls,INL,"-93.4030990600586, 48.566200256347656"
Wink,INK,"-103.200996399, 31.779600143399996"
Injune,INJ,"148.5497, -25.851"
Nis,INI,"21.853701, 43.337299"
Inhambabe,INH,"35.40850067138672, -23.876399993896484"
El Calafate,ING,"-72.248596, -50.336102"
In Guezzam,INF,"5.75, 19.566999435424805"
Chinde,INE,"36.4489, -18.59"
Indianapolis,IND,"-86.294403, 39.7173"
Yinchuan,INC,"106.393214, 38.322758"
Independence,INB,"-88.44129943847656, 16.534500122070312"
Inta,INA,"60.110321044921875, 66.0548324584961"
Iron Mountain / Kingsford,IMT,"-88.1145019531, 45.8184013367"
Showt,IMQ,"44.43, 39.330002"
Imperatriz,IMP,"-47.459999, -5.53129"
Zemio,IMO,"25.149999618530273, 5.050000190734863"
Imane,IMN,"146.1072, -6.7524"
Immokalee,IMM,"-81.40100098, 26.43320084"
Imperial,IML,"-101.6210022, 40.50930023"
Simikot,IMK,"81.81890106201172, 29.971099853515625"
Arno Atoll,IMI,"171.656959, 7.005553"
Inhaminga,IMG,"35.0045, -18.41"
Imphal,IMF,"93.896697998, 24.7600002289"
Imonda,IMD,"141.1573, -3.328"
Imbaimadai,IMB,"-60.2942008972168, 5.7081098556518555"
"Iamalele, Fergusson Island",IMA,"150.5246, -9.5107"
Å½ilina,ILZ,"18.6135005951, 49.231498718299996"
Port Ellen,ILY,"-6.256669998168945, 55.68190002441406"
Ileg,ILX,"145.8022, -5.4917"
Kilaguni,ILU,"38.06520080566406, -2.9106099605560303"
Ilorin,ILR,"4.493919849395752, 8.440210342407227"
Ilo,ILQ,"-71.34400177001953, -17.69499969482422"
Ãle des Pins,ILP,"167.45599365234375, -22.588899612426758"
Iloilo City,ILO,"122.493358, 10.833017"
Wilmington,ILN,"-83.792098999, 39.427898407"
Wilmington,ILM,"-77.90260314941406, 34.270599365234375"
Willmar,ILL,"-95.13040161, 45.11769867"
Ilaka,ILK,"48.803001403808594, -19.58300018310547"
Iliamna,ILI,"-154.9109955, 59.75439835"
Storck Barracks,ILH,"10.3880996704, 49.473899841299996"
Wilmington,ILG,"-75.60649872, 39.67869949"
Ilford,ILF,"-95.613899231, 56.0614013672"
Killeen,ILE,"-97.6865005493, 31.0858001709"
Lleida,ILD,"0.535023, 41.728185"
Illaga-Papua Island,ILA,"137.6225, -3.97648"
Tamchy,IKU,"76.713046, 42.58792"
Irkutsk,IKT,"104.38899993896, 52.268001556396"
Tiksi,IKS,"128.90299987793, 71.697700500488"
,IKP,"141.44200134277344, -16.274999618530273"
Nikolski,IKO,"-168.8489990234375, 52.94160079956055"
Ikela,IKL,"23.372501, -1.048109"
Kankakee,IKK,"-87.8462982178, 41.07139968869999"
Iki,IKI,"129.785003662, 33.7490005493"
North Wilkesboro,IKB,"-81.09829711910001, 36.2228012085"
Tehran,IKA,"51.152198791503906, 35.416099548339844"
IjuÃ­,IJU,"-53.84659957885742, -28.36870002746582"
Izhevsk,IJK,"53.45750045776367, 56.82809829711914"
Nissan Island,IIS,"154.225997925, -4.49972009659"
Ilam,IIL,"46.40480041503906, 33.58660125732422"
Inis MeÃ¡in,IIA,"-9.568059921264648, 53.09299850463867"
Ihu,IHU,"145.395996094, -7.8975601196300005"
Iranshahr,IHR,"60.7200012207, 27.2360992432"
Ihosy,IHO,"46.1649370193, -22.404720202399997"
Qishn,IHN,"51.682999, 15.417"
Inhaca,IHC,"32.929351806599996, -25.9971446991"
Foz Do IguaÃ§u,IGU,"-54.48500061035156, -25.600278854370117"
Magas,IGT,"45.0125999451, 43.322299957300004"
Manching,IGS,"11.534000396728516, 48.7156982421875"
